Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Study_Efficiency,Wellness,Study_Intensity,Attendance_Study_Balance,Score_Consistency,Parental_Involvement_Low,Parental_Involvement_Medium,Access_to_Resources_Low,Access_to_Resources_Medium,Extracurricular_Activities_Yes,Motivation_Level_Low,Motivation_Level_Medium,Internet_Access_Yes,Family_Income_Low,Family_Income_Medium,Teacher_Quality_Low,Teacher_Quality_Medium,School_Type_Public,Peer_Influence_Neutral,Peer_Influence_Positive,Learning_Disabilities_Yes,Parental_Education_Level_High School,Parental_Education_Level_Postgraduate,Distance_from_Home_Moderate,Distance_from_Home_Near,Gender_Male,Risk_Factor,Motivation_Adjusted_Study,Exam_Score
8,61,7,54,1,3,432,21,1.0,488,46,False,True,False,True,True,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,True,False,8,60
19,69,7,82,1,2,1558,14,2.375,1311,63,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,False,True,False,False,True,True,False,38,65
22,71,6,79,1,3,1738,18,3.142857142857143,1562,57,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,44,66
29,78,4,93,5,3,2697,12,5.8,2262,64,False,False,False,False,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,True,False,0,74
17,67,5,52,2,3,884,15,2.8333333333333335,1139,35,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,34,62
15,95,7,93,2,4,1395,28,1.875,1425,78,False,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,False,True,False,True,False,15,70
17,88,7,94,0,3,1598,21,2.125,1496,77,False,True,False,False,True,True,False,True,False,True,False,True,True,True,False,False,True,False,False,True,True,False,0,69
25,63,7,72,3,4,1800,28,3.125,1575,47,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,25,67
22,86,6,54,2,0,1188,0,3.142857142857143,1892,32,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,False,True,False,True,False,True,True,22,64
17,86,5,97,3,3,1649,15,2.8333333333333335,1462,80,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,True,False,34,71
23,98,7,54,0,3,1242,21,2.875,2254,31,False,True,True,False,True,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,0,68
21,60,7,80,0,4,1680,28,2.625,1260,59,False,False,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,True,True,21,64
26,70,8,75,1,4,1950,32,2.888888888888889,1820,49,False,True,True,False,True,False,True,True,False,True,True,False,False,True,False,True,True,False,False,False,False,True,26,63
16,97,6,92,0,4,1472,24,2.2857142857142856,1552,76,False,True,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,0,71
18,97,4,75,0,3,1350,12,3.6,1746,57,False,False,False,True,True,True,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,0,69
18,89,4,73,3,2,1314,8,3.6,1602,55,False,False,False,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,18,100
11,91,6,94,3,3,1034,18,1.5714285714285714,1001,83,False,True,False,True,False,False,True,True,False,True,False,True,True,True,False,False,False,False,True,False,True,False,11,68
22,64,7,98,1,3,2156,21,2.75,1408,76,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,True,True,True,0,62
22,81,7,77,2,3,1694,21,2.75,1782,55,False,True,False,True,True,True,False,True,False,True,False,True,True,False,True,False,False,True,False,False,False,False,0,68
20,69,6,73,2,3,1460,18,2.857142857142857,1380,53,False,False,False,False,True,False,True,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,20,66
19,67,5,92,0,3,1748,15,3.1666666666666665,1273,73,True,False,False,True,False,False,False,True,False,True,False,True,True,False,True,False,False,False,False,True,True,True,38,64
12,92,4,92,2,3,1104,12,2.4,1104,80,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,True,True,False,True,False,True,True,24,67
17,65,8,66,1,4,1122,32,1.8888888888888888,1105,49,False,True,False,False,True,False,True,True,False,False,False,False,True,True,False,True,False,True,True,False,False,True,17,65
18,79,7,79,0,3,1422,21,2.25,1422,61,False,True,False,True,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,18,65
15,98,6,58,0,3,870,18,2.142857142857143,1470,43,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,True,False,30,69
19,67,5,82,1,3,1558,15,3.1666666666666665,1273,63,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,True,True,False,38,63
22,99,6,92,3,4,2024,24,3.142857142857143,2178,70,False,True,True,False,True,True,False,True,False,True,False,True,True,False,False,False,False,True,True,False,True,True,0,72
31,100,7,59,2,5,1829,35,3.875,3100,28,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,True,False,True,False,31,76
21,82,7,66,3,3,1386,21,2.625,1722,45,False,True,False,False,True,False,False,True,True,False,False,True,True,False,True,True,False,False,False,True,False,True,42,69
22,67,7,72,3,2,1584,14,2.75,1474,50,False,True,False,True,True,False,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,44,67
20,73,9,92,2,3,1840,27,2.0,1460,72,False,False,False,True,True,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,20,69
8,77,6,87,0,2,696,12,1.1428571428571428,616,79,False,False,False,True,True,False,True,True,True,False,False,True,True,True,False,False,True,False,True,False,True,False,8,63
20,72,9,66,3,3,1320,27,2.0,1440,46,False,True,False,True,False,False,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,False,20,67
20,71,7,62,2,5,1240,35,2.5,1420,42,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,True,True,40,66
35,99,7,85,2,2,2975,14,4.375,3465,50,False,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,0,79
19,66,8,74,1,3,1406,24,2.111111111111111,1254,55,False,True,False,True,False,False,True,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False,19,64
22,89,6,80,1,3,1760,18,3.142857142857143,1958,58,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,22,73
20,60,7,82,2,4,1640,28,2.5,1200,62,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,True,False,False,True,True,True,40,63
13,84,5,78,1,2,1014,10,2.1666666666666665,1092,65,False,True,False,True,False,False,True,True,True,False,False,False,True,False,True,False,True,False,False,True,True,False,13,65
27,97,8,81,0,5,2187,40,3.0,2619,54,True,False,False,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,False,True,False,True,27,73
25,72,8,94,2,4,2350,32,2.7777777777777777,1800,69,False,False,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,0,70
25,67,9,93,2,3,2325,27,2.5,1675,68,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,True,True,False,False,True,False,True,50,68
15,86,7,57,1,3,855,21,1.875,1290,42,False,True,False,True,True,False,True,True,False,True,False,True,True,False,False,False,False,False,False,True,True,False,15,65
28,89,9,79,0,1,2212,9,2.8,2492,51,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,56,71
12,88,6,72,2,2,864,12,1.7142857142857142,1056,60,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,False,False,False,True,True,0,64
24,73,8,64,4,3,1536,24,2.6666666666666665,1752,40,False,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False,True,False,True,True,24,68
33,70,6,82,1,4,2706,24,4.714285714285714,2310,49,False,True,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,False,True,True,False,0,69
14,98,7,76,0,4,1064,28,1.75,1372,62,False,True,False,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,14,69
17,97,8,89,1,4,1513,32,1.8888888888888888,1649,72,False,True,False,True,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,False,17,69
21,78,10,55,1,2,1155,20,1.9090909090909092,1638,34,False,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,21,67
17,94,8,65,4,6,1105,48,1.8888888888888888,1598,48,True,False,False,True,True,True,False,True,False,True,False,True,True,True,False,False,True,False,False,False,False,True,0,68
11,78,8,51,2,3,561,24,1.2222222222222223,858,40,False,True,False,False,True,False,True,True,True,False,False,True,True,True,False,False,False,True,False,True,True,False,11,64
20,77,6,87,0,4,1740,24,2.857142857142857,1540,67,False,True,False,True,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False,True,False,False,0,66
14,66,7,96,3,3,1344,21,1.75,924,82,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,True,True,True,14,63
23,77,7,79,0,2,1817,14,2.875,1771,56,False,True,False,True,True,False,True,True,True,False,False,False,True,True,False,False,True,False,True,False,True,False,23,66
14,81,9,81,1,3,1134,27,1.4,1134,67,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,14,66
29,61,7,52,3,3,1508,21,3.625,1769,23,False,True,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,0,67
15,78,9,75,1,1,1125,9,1.5,1170,60,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,True,True,False,0,65
18,91,5,76,1,3,1368,15,3.0,1638,58,True,False,False,True,True,False,True,True,False,True,False,True,True,True,False,False,True,False,False,True,False,True,18,68
25,87,9,52,1,2,1300,18,2.5,2175,27,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,True,True,50,68
13,85,6,89,0,1,1157,6,1.8571428571428572,1105,76,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,13,65
21,96,8,64,2,0,1344,0,2.3333333333333335,2016,43,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,True,False,42,71
28,61,6,86,1,3,2408,18,4.0,1708,58,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,True,56,65
10,82,8,70,3,1,700,8,1.1111111111111112,820,60,False,True,True,False,False,False,True,True,True,False,False,False,True,False,True,True,False,True,False,True,False,True,10,64
21,91,6,100,0,2,2100,12,3.0,1911,79,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,21,72
22,82,9,61,2,2,1342,18,2.2,1804,39,False,True,False,True,False,False,True,True,True,False,False,True,True,False,False,True,True,False,False,True,False,True,22,65
25,73,8,53,0,5,1325,40,2.7777777777777777,1825,28,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,50,66
13,65,6,99,0,4,1287,24,1.8571428571428572,845,86,True,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,True,True,True,13,61
12,96,8,62,2,3,744,24,1.3333333333333333,1152,50,True,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,12,68
23,79,8,82,3,3,1886,24,2.5555555555555554,1817,59,False,False,False,False,True,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True,0,69
22,95,6,69,1,3,1518,18,3.142857142857143,2090,47,False,True,False,False,True,False,True,True,True,False,False,True,True,False,True,False,False,False,False,True,False,False,22,72
22,83,5,82,2,3,1804,15,3.6666666666666665,1826,60,False,True,False,False,True,False,True,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,22,71
22,87,5,80,2,3,1760,15,3.6666666666666665,1914,58,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,0,70
16,92,5,85,1,2,1360,10,2.6666666666666665,1472,69,False,True,False,False,True,True,False,True,True,False,False,True,True,True,False,False,True,False,True,False,True,False,0,68
21,86,5,51,2,2,1071,10,3.5,1806,30,True,False,False,True,True,False,True,True,True,False,False,False,True,False,True,False,True,False,True,False,False,True,21,67
22,76,8,92,1,4,2024,32,2.4444444444444446,1672,70,False,True,False,True,True,False,True,True,True,False,False,False,True,True,False,False,True,False,False,True,False,False,22,68
16,81,8,74,3,2,1184,16,1.7777777777777777,1296,58,False,True,False,True,True,False,True,True,False,True,False,True,True,False,True,False,False,True,False,True,False,False,16,68
31,92,4,76,2,4,2356,16,6.2,2852,45,False,True,False,True,True,False,True,True,False,True,False,False,True,False,True,True,True,False,False,False,True,True,31,72
23,75,6,71,0,2,1633,12,3.2857142857142856,1725,48,True,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,True,True,0,65
13,76,5,99,2,4,1287,20,2.1666666666666665,988,86,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,0,66
24,64,8,90,0,3,2160,24,2.6666666666666665,1536,66,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,48,65
14,97,6,66,2,3,924,18,2.0,1358,52,False,True,False,True,True,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,14,67
25,64,5,89,2,4,2225,20,4.166666666666667,1600,64,False,True,False,False,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,False,True,False,0,66
27,86,7,72,1,4,1944,28,3.375,2322,45,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,0,69
15,77,8,94,0,3,1410,24,1.6666666666666667,1155,79,False,True,False,True,True,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,0,66
26,76,6,52,4,3,1352,18,3.7142857142857144,1976,26,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,False,True,True,False,26,69
22,87,7,68,0,2,1496,14,2.75,1914,46,False,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False,True,False,False,True,True,True,22,67
25,63,6,71,1,3,1775,18,3.5714285714285716,1575,46,False,False,False,True,True,False,True,True,False,True,True,False,False,False,True,False,True,False,False,True,True,False,25,66
31,84,9,87,2,3,2697,27,3.1,2604,56,False,True,False,True,True,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,31,71
19,91,6,59,5,4,1121,24,2.7142857142857144,1729,40,False,False,True,False,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,True,True,19,70
15,93,6,64,2,4,960,24,2.142857142857143,1395,49,False,False,False,True,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,15,71
15,67,7,86,1,3,1290,21,1.875,1005,71,False,True,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True,False,30,66
15,96,7,54,3,2,810,14,1.875,1440,39,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,30,67
20,86,8,60,1,4,1200,32,2.2222222222222223,1720,40,False,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,False,False,False,False,False,True,20,66
